"STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY"
8,,rtw_st_phy,rtw_s32_hom,rtw_REHAB_SITIAWAN,,80.0,,
8,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
8,,rtw_st_phy,rtw_s32_hom,rtw_C,,90.0,,
8,,rtw_st_con,rtw_s159_med,rtw_YAYASAN_IPOH,,50.0,,
8,,rtw_st_ass,rtw_s49_gen,rtw_DOCUMENTATION_DBC IPOH,,195.0,,
8,,rtw_st_fun,rtw_s64_bas,rtw_DOCUMENTATION_DBC IPOH,,220.0,,
8,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_DIAMAGNETIC_CHERAS,,145.0,,
8,,rtw_st_serv_by_pack,rtw_s145_pak,rtw_DIAMAGNETIC_IPOH,,95.0,,
8,,rtw_st_serv_by_pack,rtw_s145_pak,rtw_YAYASAN_IPOH,,50.0,,
8,,rtw_st_serv_by_pack,rtw_s148_pak,rtw_DIAMAGNETIC_IPOH,,60.0,,
6,,rtw_st_phy,rtw_s1_phy,rtw_KUANTAN_KUANTAN,,80.0,,
6,,rtw_st_phy,rtw_s1_phy,rtw_KPJ_KUANTAN,,80.0,,
6,,rtw_st_phy,rtw_s1_phy,rtw_ACE_CAMERON HIGHLANDS,,80.0,,
6,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
6,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_KUANTAN_KUANTAN,,80.0,,
6,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_KPJ_KUANTAN,,80.0,,
6,,rtw_st_serv_by_pack,rtw_s139_pak,rtw_KPJ_KUANTAN,,80.0,,
6,,rtw_st_serv_by_pack,rtw_s146_pak,rtw_KPJ_KUANTAN,,80.0,,
6,,rtw_st_serv_by_pack,rtw_s151_pak,rtw_KUANTAN_KUANTAN,,80.0,,
6,,rtw_st_serv_by_mod,rtw_s215_adv,rtw_KPJ_KUANTAN,,80.0,,
3,,rtw_st_phy,rtw_s1_phy,rtw_PHYSIOTHERAPY_POTCKB,,70.0,,
3,,rtw_st_phy,rtw_s1_phy,rtw_FLEX_KT0427207-X,,70.0,,
3,,rtw_st_occ,rtw_s25_occ,rtw_PHYSIOTHERAPY_POTCKB,,70.0,,
3,,rtw_st_spe,rtw_s155_spe,rtw_PHYSIOTHERAPY_POTCKB,,70.0,,
3,,rtw_st_phy,rtw_s11_hyd,rtw_PHYSIOTHERAPY_POTCKB,,50.0,,
3,,rtw_st_phy,rtw_s32_hom,rtw_PHYSIOTHERAPY_POTCKB,,100.0,,
3,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
11,,rtw_st_phy,rtw_s1_phy,rtw_ALL,,80.0,,
11,,rtw_st_phy,rtw_s32_hom,rtw_HMC_SHAH ALAM,,110.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_BIOREHAB_LABUAN,,80.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_BIOREHAB_KOTA KINABALU,,80.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_BIOREHAB_SANDAKAN,,80.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_BERKAT_SANDAKAN,,80.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_K.K_KK,,100.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_MOVE_KK,,75.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_VALERIE_KK,,80.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_BODYCARE_TCMC,,70.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_TAWAU_TAWAU,,80.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_TAGS_KOTA KINABALU,,70.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_SABAH_KK,,90.0,,
12,,rtw_st_phy,rtw_s1_phy,rtw_DAMAI_KK,,65.0,,
12,,rtw_st_hos,rtw_s75_inp,rtw_DAMAI_KK,,89.0,,
12,,rtw_st_phy,rtw_s32_hom,rtw_BIOREHAB_LABUAN,,100.0,,
12,,rtw_st_phy,rtw_s32_hom,rtw_BIOREHAB_KOTA KINABALU,,100.0,,
12,,rtw_st_phy,rtw_s32_hom,rtw_BIOREHAB_SANDAKAN,,100.0,,
12,,rtw_st_phy,rtw_s32_hom,rtw_BERKAT_SANDAKAN,,100.0,,
12,,rtw_st_phy,rtw_s32_hom,rtw_K.K_KK,,100.0,,
12,,rtw_st_phy,rtw_s32_hom,rtw_MOVE_KK,,90.0,,
12,,rtw_st_phy,rtw_s32_hom,rtw_TAWAU_TAWAU,,110.0,,
12,,rtw_st_ass,rtw_s49_gen,rtw_BIOREHAB_LABUAN,,30.0,,
12,,rtw_st_ass,rtw_s49_gen,rtw_MOVE_KK,,10.0,,
12,,rtw_st_dry,rtw_s76_dry,rtw_K.K_KK,,40.0,,
12,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_BIOREHAB_LABUAN,,80.0,,
12,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_BIOREHAB_KOTA KINABALU,,80.0,,
12,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_BIOREHAB_SANDAKAN,,80.0,,
12,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_K.K_KK,,100.0,,
12,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_MOVE_KK,,75.0,,
12,,rtw_st_serv_by_pack,rtw_s138_pak,rtw_DAMAI_KK,,65.0,,
12,,rtw_st_serv_by_pack,rtw_s148_pak,rtw_TAWAU_TAWAU,,80.0,,
12,,rtw_st_serv_by_pack,rtw_s151_pak,rtw_BIOREHAB_LABUAN,,80.0,,
12,,rtw_st_serv_by_pack,rtw_s151_pak,rtw_K.K_KK,,30.0,,
12,,rtw_st_phy,rtw_s20_che,rtw_K.K_KK,,30.0,,
12,,rtw_st_phy,rtw_s20_che,rtw_MOVE_KK,,50.0,,
