"ID","STATE_CODE","ZONE_CODE","SERVICE_TYPE","SERVICE","PANEL_CODE","PRICE_BY_SESSION","ADDBY","UPDBY","CREATED_AT","UPDATED_AT"
156,"4",,rtw_st_phy,rtw_s1_phy,rtw_panel_4_TAGS,"70.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
157,"4",,rtw_st_phy,rtw_s1_phy,rtw_panel_4_EZ,"70.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
158,"4",,rtw_st_phy,rtw_s32_hom,rtw_panel_4_EZ,"100.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
159,"4",,rtw_st_phy,rtw_s32_hom,rtw_panel_4_HMC,"110.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
160,"17",,rtw_st_phy,rtw_s1_phy,rtw_panel_17_MAWAR,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
161,"17",,rtw_st_phy,rtw_s1_phy,rtw_panel_17_NSCMH,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
162,"17",,rtw_st_phy,rtw_s1_phy,rtw_panel_17_SALAM,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
163,"17",,rtw_st_phy,rtw_s1_phy,rtw_panel_17_COLUMBIA,"80.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
164,"17",,rtw_st_phy,rtw_s1_phy,rtw_panel_17_TAGS,"70.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
165,"17",,rtw_st_phy,rtw_s1_phy,rtw_panel_17_BAINS,"80.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
166,"17",,rtw_st_phy,rtw_s1_phy,rtw_panel_17_KPJ,"80.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
167,"17",,rtw_st_phy,rtw_s1_phy,rtw_panel_17_SE,"80.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
168,"17",,rtw_st_phy,rtw_s32_hom,rtw_panel_17_BAINS,"100.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
169,"17",,rtw_st_phy,rtw_s32_hom,rtw_panel_17_HMC,"100.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
170,"17",,rtw_st_phy,rtw_s32_hom,rtw_panel_17_SE,"100.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
171,"17",,rtw_st_phy,rtw_s20_che,rtw_panel_17_COLUMBIA,"39.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
172,"17",,rtw_st_occ,rtw_s25_occ,rtw_panel_17_KPJ,"87.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
173,"17",,rtw_st_occ,rtw_s25_occ,rtw_panel_17_SE,"80.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
174,"17",,rtw_st_spe,rtw_s43_spe,rtw_panel_17_KPJ,"130.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
175,"17",,rtw_st_ass,rtw_s49_gen,rtw_panel_17_NSCMH,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
176,"17",,rtw_st_ass,rtw_s49_gen,rtw_panel_17_BAINS,"80.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
177,"17",,rtw_st_ass,rtw_s58_spe,rtw_panel_17_KPJ,"200.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
178,"17",,rtw_st_fun,rtw_s64_bas,rtw_panel_17_BAINS,"80.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
179,"17",,rtw_st_fun,rtw_s64_bas,rtw_panel_17_KPJ,"113.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
180,"17",,rtw_st_dry,rtw_s76_dry,rtw_panel_17_BAINS,"40.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
181,"17",,rtw_st_sbm,rtw_s131_adv,rtw_panel_17_KPJ,"85.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
182,"17",,rtw_st_sbp,rtw_s139_pak,rtw_panel_17_MAWAR,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
183,"17",,rtw_st_sbp,rtw_s139_pak,rtw_panel_17_SALAM,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
184,"17",,rtw_st_sbp,rtw_s139_pak,rtw_panel_17_COLUMBIA,"75.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
185,"17",,rtw_st_sbp,rtw_s140_pak,rtw_panel_17_NSCMH,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
186,"17",,rtw_st_sbp,rtw_s140_pak,rtw_panel_17_SALAM,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
187,"17",,rtw_st_sbp,rtw_s146_pak,rtw_panel_17_MAWAR,"70.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
188,"17",,rtw_st_sbp,rtw_s147_pak,rtw_panel_17_MAWAR,"80.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
189,"17",,rtw_st_sbp,rtw_s148_pak,rtw_panel_17_MAWAR,"70.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
190,"17",,rtw_st_sbp,rtw_s148_pak,rtw_panel_17_SALAM,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
191,"17",,rtw_st_sbp,rtw_s149_pak,rtw_panel_17_MAWAR,"60.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
192,"17",,rtw_st_sbp,rtw_s152_pak,rtw_panel_17_NSCMH,"90.0",,,2021-01-19 17:11:52,2021-01-19 17:11:52
193,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_SINAR,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
194,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_REHAB,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
195,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_KLUANG,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
196,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_JB,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
197,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_GREAT,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
198,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_BP,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
199,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_TAGS,"70.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
200,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_EPISODE,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
201,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_PANTAI,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
202,,"2",rtw_st_phy,rtw_s1_phy,rtw_panel_2_PHYSIOMOBILEMY,"80.0",,,2021-01-19 17:11:54,2021-01-19 17:11:54
