"ID","SERVICE_TYPE","SERVICE","SERVICE_PLAN","IS_MILEAGE_APPLICABLE","ADDBY","UPDBY","CREATED_AT","UPDATED_AT"
103,rtw_st_serv_by_mod,rtw_s101_han,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
104,rtw_st_serv_by_mod,rtw_s102_swd,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
105,rtw_st_serv_by_mod,rtw_s103_con,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
106,rtw_st_serv_by_mod,rtw_s104_int,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
107,rtw_st_serv_by_mod,rtw_s105_amb,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
108,rtw_st_serv_by_mod,rtw_s106_hot,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
109,rtw_st_serv_by_mod,rtw_s107_tra,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
110,rtw_st_serv_by_mod,rtw_s108_tre,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
111,rtw_st_serv_by_mod,rtw_s109_ele,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
112,rtw_st_serv_by_mod,rtw_s110_hyd,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
113,rtw_st_serv_by_mod,rtw_s111_inf,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
114,rtw_st_serv_by_mod,rtw_s112_bas,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
115,rtw_st_serv_by_mod,rtw_s113_exe,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
116,rtw_st_serv_by_mod,rtw_s114_mob,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
117,rtw_st_serv_by_pack,rtw_s138_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
118,rtw_st_serv_by_pack,rtw_s139_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
119,rtw_st_serv_by_pack,rtw_s140_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
120,rtw_st_serv_by_pack,rtw_s141_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
121,rtw_st_serv_by_pack,rtw_s142_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
122,rtw_st_serv_by_pack,rtw_s143_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
123,rtw_st_serv_by_pack,rtw_s144_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
124,rtw_st_serv_by_pack,rtw_s145_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
125,rtw_st_serv_by_pack,rtw_s146_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
126,rtw_st_serv_by_pack,rtw_s147_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
127,rtw_st_serv_by_pack,rtw_s148_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
128,rtw_st_serv_by_pack,rtw_s149_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
129,rtw_st_serv_by_pack,rtw_s150_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
130,rtw_st_serv_by_pack,rtw_s151_pak,"3",,,,2021-01-21 06:16:36,2021-01-21 06:16:36
